,epoch,step,name,value
113,3,28.0,avg_train_loss,0.7191513925790787
114,3,28.0,average_valid_loss,0.6871636062860489
115,3,32.0,avg_train_loss,0.715008407831192
116,3,32.0,average_valid_loss,0.6871640334526697
117,3,36.0,avg_train_loss,0.6987399756908417
118,3,36.0,average_valid_loss,0.6871348495284716
119,3,40.0,avg_train_loss,0.6794489622116089
120,3,40.0,average_valid_loss,0.6870553642511368
121,3,44.0,avg_train_loss,0.6891478151082993
122,3,44.0,average_valid_loss,0.6869996910293897
123,3,48.0,avg_train_loss,0.7023314982652664
124,3,48.0,average_valid_loss,0.6870047375559807
125,3,52.0,avg_train_loss,0.7099521905183792
126,3,52.0,average_valid_loss,0.6870406568050385
127,3,56.0,avg_train_loss,0.6983089447021484
128,3,56.0,average_valid_loss,0.6870210940639178
129,3,60.0,avg_train_loss,0.6872731596231461
130,3,60.0,average_valid_loss,0.6870288799206415
131,3,64.0,avg_train_loss,0.7091730833053589
132,3,64.0,average_valid_loss,0.6870372320214907
133,3,68.0,avg_train_loss,0.7048916667699814
134,3,68.0,average_valid_loss,0.6870776414871216
135,3,72.0,avg_train_loss,0.6923695504665375
136,3,72.0,average_valid_loss,0.6870204706986746
137,3,76.0,avg_train_loss,0.7036860138177872
138,3,76.0,average_valid_loss,0.6870042085647583
139,3,80.0,avg_train_loss,0.6929460912942886
140,3,80.0,average_valid_loss,0.6870102211833
141,3,84.0,avg_train_loss,0.7049519270658493
142,3,84.0,average_valid_loss,0.6869968424240748
143,3,88.0,avg_train_loss,0.6803524047136307
144,3,88.0,average_valid_loss,0.6869210799535116
145,3,92.0,avg_train_loss,0.6904782652854919
146,3,92.0,average_valid_loss,0.6867934539914131
147,3,96.0,avg_train_loss,0.6947217881679535
148,3,96.0,average_valid_loss,0.686529686053594
149,3,96.0,epoch_sec,1.640333890914917
150,4,96.0,learning_rate,0.008433125
151,4,4.0,avg_train_loss,0.6475538164377213
152,4,4.0,average_valid_loss,0.686106413602829
153,4,8.0,avg_train_loss,0.6818810105323792
154,4,8.0,average_valid_loss,0.6858654196063677
155,4,12.0,avg_train_loss,0.6820511966943741
156,4,12.0,average_valid_loss,0.6857695827881495
157,4,16.0,avg_train_loss,0.6931806206703186
158,4,16.0,average_valid_loss,0.6857294837633768
159,4,20.0,avg_train_loss,0.7109940499067307
160,4,20.0,average_valid_loss,0.6857684229811033
161,4,24.0,avg_train_loss,0.6869166791439056
162,4,24.0,average_valid_loss,0.6856849864125252
163,4,28.0,avg_train_loss,0.6982492506504059
164,4,28.0,average_valid_loss,0.6857320591807365
165,4,32.0,avg_train_loss,0.7158716768026352
166,4,32.0,average_valid_loss,0.6857559134562811
167,4,36.0,avg_train_loss,0.6940845996141434
168,4,36.0,average_valid_loss,0.6856920147935549
169,4,40.0,avg_train_loss,0.6915251761674881
170,4,40.0,average_valid_loss,0.6855740447839102
171,4,44.0,avg_train_loss,0.6897390186786652
172,4,44.0,average_valid_loss,0.6855080599586169
173,4,48.0,avg_train_loss,0.7044166773557663
174,4,48.0,average_valid_loss,0.685527004301548
175,4,52.0,avg_train_loss,0.7006732821464539
176,4,52.0,average_valid_loss,0.685565285384655
177,4,56.0,avg_train_loss,0.7005052119493484
178,4,56.0,average_valid_loss,0.6855240166187286
179,4,60.0,avg_train_loss,0.703599289059639
180,4,60.0,average_valid_loss,0.6855097661415736
181,4,64.0,avg_train_loss,0.7031720578670502
182,4,64.0,average_valid_loss,0.6855616817871729
183,4,68.0,avg_train_loss,0.7116775214672089
184,4,68.0,average_valid_loss,0.685633604725202
185,4,72.0,avg_train_loss,0.6947924643754959
186,4,72.0,average_valid_loss,0.6855679998795191
187,4,76.0,avg_train_loss,0.6916615664958954
188,4,76.0,average_valid_loss,0.6855408449967703
189,4,80.0,avg_train_loss,0.6987975835800171
190,4,80.0,average_valid_loss,0.6855505729715029
191,4,84.0,avg_train_loss,0.7009372115135193
192,4,84.0,average_valid_loss,0.6855387290318807
193,4,88.0,avg_train_loss,0.6803983598947525
194,4,88.0,average_valid_loss,0.6854581361015638
195,4,92.0,avg_train_loss,0.6846304088830948
196,4,92.0,average_valid_loss,0.6852608298261961
197,4,96.0,avg_train_loss,0.6745035499334335
198,4,96.0,average_valid_loss,0.6849650541941324
199,4,96.0,epoch_sec,1.7689955234527588
200,5,96.0,learning_rate,0.0125996875
201,5,4.0,avg_train_loss,0.6417756229639053
202,5,4.0,average_valid_loss,0.6845556572079659
203,5,8.0,avg_train_loss,0.668541744351387
204,5,8.0,average_valid_loss,0.6843594138820966
205,5,12.0,avg_train_loss,0.687371551990509
206,5,12.0,average_valid_loss,0.6843068674206734
207,5,16.0,avg_train_loss,0.6929601281881332
208,5,16.0,average_valid_loss,0.6842910746733347
209,5,20.0,avg_train_loss,0.704707533121109
210,5,20.0,average_valid_loss,0.6843557804822922
211,5,24.0,avg_train_loss,0.6796759366989136
212,5,24.0,average_valid_loss,0.6842875753839811
213,5,28.0,avg_train_loss,0.7031423598527908
214,5,28.0,average_valid_loss,0.6843427668015162
215,5,32.0,avg_train_loss,0.7001475989818573
216,5,32.0,average_valid_loss,0.6843463132778803
217,5,36.0,avg_train_loss,0.6874822229146957
218,5,36.0,average_valid_loss,0.6843182767430941
219,5,40.0,avg_train_loss,0.6658865362405777
220,5,40.0,average_valid_loss,0.6842249060670534
221,5,44.0,avg_train_loss,0.6815672814846039
222,5,44.0,average_valid_loss,0.6841732114553452
223,5,48.0,avg_train_loss,0.6949121206998825
224,5,48.0,average_valid_loss,0.684202161928018
225,5,52.0,avg_train_loss,0.7026284784078598
226,5,52.0,average_valid_loss,0.6842413519819578
227,5,56.0,avg_train_loss,0.6969128847122192
228,5,56.0,average_valid_loss,0.6842430358131727
229,5,60.0,avg_train_loss,0.6895031183958054
230,5,60.0,average_valid_loss,0.6842861026525497
231,5,64.0,avg_train_loss,0.7003076076507568
232,5,64.0,average_valid_loss,0.6843437527616819
233,5,68.0,avg_train_loss,0.7166477590799332
234,5,68.0,average_valid_loss,0.6844041968385378
235,5,72.0,avg_train_loss,0.6804579943418503
236,5,72.0,average_valid_loss,0.6843503887454668
237,5,76.0,avg_train_loss,0.6945689916610718
238,5,76.0,average_valid_loss,0.6843235765894254
239,5,80.0,avg_train_loss,0.6856157779693604
240,5,80.0,average_valid_loss,0.684351791938146
241,5,84.0,avg_train_loss,0.6962112635374069
242,5,84.0,average_valid_loss,0.6843798011541367
243,5,88.0,avg_train_loss,0.6778379678726196
244,5,88.0,average_valid_loss,0.6842801347374916
245,5,92.0,avg_train_loss,0.6656235903501511
246,5,92.0,average_valid_loss,0.6840930034716924
247,5,96.0,avg_train_loss,0.684100553393364
248,5,96.0,average_valid_loss,0.6837473859389623
249,5,96.0,epoch_sec,1.9718387126922607
250,6,96.0,learning_rate,0.01676625
251,6,4.0,avg_train_loss,0.6304264217615128
252,6,4.0,average_valid_loss,0.6834576452771822
253,6,8.0,avg_train_loss,0.6605924665927887
254,6,8.0,average_valid_loss,0.6833759148915609
255,6,12.0,avg_train_loss,0.6866966634988785
256,6,12.0,average_valid_loss,0.6833278983831406
257,6,16.0,avg_train_loss,0.6906588971614838
258,6,16.0,average_valid_loss,0.6833086088299751
259,6,20.0,avg_train_loss,0.7072279453277588
260,6,20.0,average_valid_loss,0.6833054423332214
261,6,24.0,avg_train_loss,0.6765141785144806
262,6,24.0,average_valid_loss,0.6832419211665789
263,6,28.0,avg_train_loss,0.6974824517965317
264,6,28.0,average_valid_loss,0.6832669898867607
265,6,32.0,avg_train_loss,0.7041099220514297
266,6,32.0,average_valid_loss,0.6832991565267245
267,6,36.0,avg_train_loss,0.6796889901161194
268,6,36.0,average_valid_loss,0.6832700818777084
269,6,40.0,avg_train_loss,0.6834135204553604
270,6,40.0,average_valid_loss,0.683205266793569
271,6,44.0,avg_train_loss,0.6866240501403809
272,6,44.0,average_valid_loss,0.6831623812516531
273,6,48.0,avg_train_loss,0.7000728994607925
274,6,48.0,average_valid_loss,0.6831819365421931
275,6,52.0,avg_train_loss,0.6880685389041901
276,6,52.0,average_valid_loss,0.6832416752974192
277,6,56.0,avg_train_loss,0.6899493336677551
278,6,56.0,average_valid_loss,0.6832779149214426
279,6,60.0,avg_train_loss,0.6859516650438309
280,6,60.0,average_valid_loss,0.6833055391907692
281,6,64.0,avg_train_loss,0.6968871057033539
282,6,64.0,average_valid_loss,0.6833687722682953
283,6,68.0,avg_train_loss,0.7012030631303787
284,6,68.0,average_valid_loss,0.6834414079785347
285,6,72.0,avg_train_loss,0.6800585389137268
286,6,72.0,average_valid_loss,0.6833830028772354
287,6,76.0,avg_train_loss,0.7006244361400604
288,6,76.0,average_valid_loss,0.6833942184845606
289,6,80.0,avg_train_loss,0.6960817575454712
290,6,80.0,average_valid_loss,0.6834338580568632
291,6,84.0,avg_train_loss,0.6890065521001816
292,6,84.0,average_valid_loss,0.6834259182214737
293,6,88.0,avg_train_loss,0.6841363161802292
294,6,88.0,average_valid_loss,0.6833568116029104
295,6,92.0,avg_train_loss,0.6710066944360733
296,6,92.0,average_valid_loss,0.6831570689876875
297,6,96.0,avg_train_loss,0.6586082577705383
298,6,96.0,average_valid_loss,0.6828117022911707
299,6,96.0,epoch_sec,1.977353572845459
300,7,96.0,learning_rate,0.0209328125
301,7,4.0,avg_train_loss,0.6238287836313248
302,7,4.0,average_valid_loss,0.6826391393939654
303,7,8.0,avg_train_loss,0.6669372171163559
304,7,8.0,average_valid_loss,0.6826056490341822
305,7,12.0,avg_train_loss,0.6891180723905563
306,7,12.0,average_valid_loss,0.6825596789518992
307,7,16.0,avg_train_loss,0.6925663501024246
308,7,16.0,average_valid_loss,0.6825399721662203
309,7,20.0,avg_train_loss,0.7156618237495422
310,7,20.0,average_valid_loss,0.682534801463286
311,7,24.0,avg_train_loss,0.6848891228437424
312,7,24.0,average_valid_loss,0.6824706668655077
313,7,28.0,avg_train_loss,0.6959228217601776
314,7,28.0,average_valid_loss,0.6824687197804451
315,7,32.0,avg_train_loss,0.7111934423446655
316,7,32.0,average_valid_loss,0.6824372236927351
317,7,36.0,avg_train_loss,0.6906149089336395
318,7,36.0,average_valid_loss,0.6824562301238378
319,7,40.0,avg_train_loss,0.6727130115032196
320,7,40.0,average_valid_loss,0.6824176808198293
321,7,44.0,avg_train_loss,0.6829460561275482
322,7,44.0,average_valid_loss,0.6823947752515475
