epoch,step,name,value
1,4,avg_train_loss,0.6309991031885147
1,4,average_valid_loss,0.6808889036377271
1,8,avg_train_loss,0.6677490472793579
1,8,average_valid_loss,0.6808884218335152
1,12,avg_train_loss,0.6936157494783401
1,12,average_valid_loss,0.6808815995852152
1,16,avg_train_loss,0.6879674196243286
1,16,average_valid_loss,0.6808724130193392
1,20,avg_train_loss,0.7091254442930222
1,20,average_valid_loss,0.6809919575850168
1,24,avg_train_loss,0.6927472203969955
1,24,average_valid_loss,0.680944100022316
1,28,avg_train_loss,0.7272453159093857
1,28,average_valid_loss,0.6811960662404696
1,32,avg_train_loss,0.7220900356769562
1,32,average_valid_loss,0.6816452766458193
1,36,avg_train_loss,0.7074480354785919
1,36,average_valid_loss,0.6816884949803352
1,40,avg_train_loss,0.6865386366844177
1,40,average_valid_loss,0.6812884360551834
1,44,avg_train_loss,0.6926947087049484
1,44,average_valid_loss,0.6812419692675272
1,48,avg_train_loss,0.7017585933208466
1,48,average_valid_loss,0.6817086338996887
1,52,avg_train_loss,0.695692390203476
1,52,average_valid_loss,0.6823919067780176
1,56,avg_train_loss,0.697973757982254
1,56,average_valid_loss,0.68224619080623
1,60,avg_train_loss,0.6931351274251938
1,60,average_valid_loss,0.6828938101728758
1,64,avg_train_loss,0.7061316668987274
1,64,average_valid_loss,0.6833685636520386
1,68,avg_train_loss,0.70196133852005
1,68,average_valid_loss,0.6853240132331848
1,72,avg_train_loss,0.6853175610303879
1,72,average_valid_loss,0.6830358852942785
1,76,avg_train_loss,0.6891424506902695
1,76,average_valid_loss,0.6835257758696874
1,80,avg_train_loss,0.6927397549152374
1,80,average_valid_loss,0.6832891553640366
1,84,avg_train_loss,0.6939274221658707
1,84,average_valid_loss,0.6831628109018008
1,88,avg_train_loss,0.6843827664852142
1,88,average_valid_loss,0.6820137624939283
1,92,avg_train_loss,0.6715742647647858
1,92,average_valid_loss,0.6810488527019819
1,96,avg_train_loss,0.6189388781785965
1,96,average_valid_loss,0.6855898002783457
2,4,avg_train_loss,0.5621570348739624
2,4,average_valid_loss,0.6998035063346227
2,8,avg_train_loss,0.6416843086481094
2,8,average_valid_loss,0.6984953805804253
2,12,avg_train_loss,0.6960857808589935
2,12,average_valid_loss,0.6902767519156138
2,16,avg_train_loss,0.6945565044879913
2,16,average_valid_loss,0.6852346559365591
2,20,avg_train_loss,0.7249352484941483
2,20,average_valid_loss,0.6805972680449486
2,24,avg_train_loss,0.6778612583875656
2,24,average_valid_loss,0.6808109631141027
2,28,avg_train_loss,0.6991859674453735
2,28,average_valid_loss,0.6809933880964915
2,32,avg_train_loss,0.7162154465913773
2,32,average_valid_loss,0.683194654683272
2,36,avg_train_loss,0.6871610581874847
2,36,average_valid_loss,0.6815757354100546
2,40,avg_train_loss,0.671112984418869
2,40,average_valid_loss,0.6805092518528303
2,44,avg_train_loss,0.6876776665449142
2,44,average_valid_loss,0.6808125923077265
2,48,avg_train_loss,0.6997932642698288
2,48,average_valid_loss,0.6809922382235527
2,52,avg_train_loss,0.6935502588748932
2,52,average_valid_loss,0.6837081710497538
2,56,avg_train_loss,0.691985160112381
2,56,average_valid_loss,0.6833438326915106
2,60,avg_train_loss,0.6855475455522537
2,60,average_valid_loss,0.6823475882411003
2,64,avg_train_loss,0.7001492232084274
2,64,average_valid_loss,0.6857478991150856
2,68,avg_train_loss,0.6969499737024307
2,68,average_valid_loss,0.6917615309357643
2,72,avg_train_loss,0.6884415000677109
2,72,average_valid_loss,0.6824861516555151
2,76,avg_train_loss,0.6930552124977112
2,76,average_valid_loss,0.6818295419216156
2,80,avg_train_loss,0.696743980050087
2,80,average_valid_loss,0.6834120899438858
2,84,avg_train_loss,0.69195157289505
2,84,average_valid_loss,0.6844498614470164
2,88,avg_train_loss,0.6776736676692963
2,88,average_valid_loss,0.680800179640452
2,92,avg_train_loss,0.6552817225456238
2,92,average_valid_loss,0.6824182793498039
2,96,avg_train_loss,0.6030354350805283
2,96,average_valid_loss,0.7033357173204422
3,4,avg_train_loss,0.5416802167892456
3,4,average_valid_loss,0.7296407719453176
3,8,avg_train_loss,0.6485266238451004
3,8,average_valid_loss,0.7080146918694178
3,12,avg_train_loss,0.6918615847826004
3,12,average_valid_loss,0.6902293066183726
3,16,avg_train_loss,0.6908798962831497
3,16,average_valid_loss,0.6833298827211062
3,20,avg_train_loss,0.7176666110754013
3,20,average_valid_loss,0.6823301911354065
3,24,avg_train_loss,0.6799245029687881
3,24,average_valid_loss,0.6798143982887268
3,28,avg_train_loss,0.6988548338413239
3,28,average_valid_loss,0.680878572165966
3,32,avg_train_loss,0.6949150413274765
3,32,average_valid_loss,0.6871663654843966
3,36,avg_train_loss,0.6910138130187988
3,36,average_valid_loss,0.6822184895475706
3,40,avg_train_loss,0.6757442057132721
3,40,average_valid_loss,0.6801807706554731
3,44,avg_train_loss,0.6817039102315903
3,44,average_valid_loss,0.6799588824311892
3,48,avg_train_loss,0.7037708163261414
3,48,average_valid_loss,0.6810533925890923
3,52,avg_train_loss,0.6947182416915894
3,52,average_valid_loss,0.6862579310933749
3,56,avg_train_loss,0.6946031898260117
3,56,average_valid_loss,0.6841734324892362
3,60,avg_train_loss,0.6923548132181168
3,60,average_valid_loss,0.6842980782190958
3,64,avg_train_loss,0.6965062469244003
3,64,average_valid_loss,0.6865880787372589
3,68,avg_train_loss,0.694671705365181
3,68,average_valid_loss,0.6950751667221388
3,72,avg_train_loss,0.6857092678546906
3,72,average_valid_loss,0.681429443260034
3,76,avg_train_loss,0.6894949376583099
